8,2375,"2024-07-11 20:02:24",7337892830313991467,7273143027361680673,7273143027361680673,correct
8,1511,"2024-07-11 20:03:43",7336724718667451690,7348094032645573920,7348094032645573920,correct
9,704,"2024-07-11 20:06:46",7353852457929280810,7339745900022992171,7339745900022992171,wrong
9,1621,"2024-07-11 20:07:38",7343116185057217823,7335719362659192065,7343116185057217823,correct
9,140,"2024-07-11 20:08:33",7350021963223584046,7351144574661774635,7350021963223584046,correct
10,3345,"2024-07-11 20:11:00",7340078016564841736,7346511698624269601,7340078016564841736,correct
15,2714,"2024-07-11 20:28:28",7329198456096984363,7328896455119310123,7328896455119310123,correct
15,866,"2024-07-11 20:29:09",7350772960304844078,7353414299001310495,7353414299001310495,correct
15,872,"2024-07-11 20:30:51",7353414299001310495,7347043177376795937,7347043177376795937,correct
15,913,"2024-07-11 20:31:57",7352981264670100782,7350708324125445408,7350708324125445408,wrong
19,1946,"2024-07-11 20:36:29",7347633281883442464,7342105814787788065,7342105814787788065,correct
19,2560,"2024-07-11 20:38:29",7321031141769760042,7281273602907917599,7281273602907917599,wrong
19,2145,"2024-07-11 20:39:07",7273143027361680673,7344818041156275502,7344818041156275502,wrong
19,2128,"2024-07-11 20:40:02",7351005218949238049,7345719870123740459,7351005218949238049,correct
19,1892,"2024-07-11 20:40:29",7337433492822723873,7337892830313991467,7337433492822723873,wrong
19,1764,"2024-07-11 20:41:22",7357535146410593578,7350443993605459243,7357535146410593578,correct
19,2154,"2024-07-11 20:41:59",7345953938010541354,7344818041156275502,7345953938010541354,correct
19,1796,"2024-07-11 20:43:29",7341011712507677984,7283215159533784366,7283215159533784366,wrong
19,1947,"2024-07-11 20:44:16",7342105814787788065,7347417824446483754,7342105814787788065,correct
19,2060,"2024-07-11 20:45:30",7354126776072670507,7337095859726748970,7337095859726748970,correct
20,3125,"2024-07-11 20:50:19",7352651992730193183,7330793159993363758,7352651992730193183,wrong
20,3094,"2024-07-11 20:50:43",7331187830326250798,7335806668736974112,7331187830326250798,correct
20,1686,"2024-07-11 20:51:42",7331292194206256427,7349568170904063274,7331292194206256427,wrong
20,80,"2024-07-11 20:52:40",7351144574661774635,7296733697607224619,7351144574661774635,correct
20,3093,"2024-07-11 20:54:23",7331187830326250798,7353715174471208224,7353715174471208224,wrong
20,3092,"2024-07-11 20:55:45",7342316904486276394,7331439283838094638,7342316904486276394,wrong
20,3105,"2024-07-11 20:56:09",7331187830326250798,7340078016564841736,7340078016564841736,wrong
